task_text,answer
люди приезжают к тебе раз в двести суток имена и даты заменены на другие варианты,люди приезжают к тебе раз в 200 суток имена и даты заменены на другие варианты
ладно вы сами решаете какую цену указывать но чтобы увеличить просмотры в объявлении надо нажать поднять двеси триста рублей,ладно вы сами решаете какую цену указывать но чтобы увеличить просмотры в объявлении надо нажать поднять 200 300 рублей
один приз равен одному рублю эти призы вы сможете использовать на просмотры они будут применяться поровну то есть если просмотр обойдется например в два рубля один рубль будет оплачиваться вашим балансом один рубль будет оплачиваться бонусами а количество бонусов которое вы можете получить зависит от того какую сумму вы перечислили на предоплату и какую подписку активировали её цена мы суммируем эти два значения и такую же сумму бонусов вам начисляется максимум двеси вы так можете получить то есть например выбрали максимальную за шесть тыщ и пополнили предоплату на три тыщи суммарно ваш баланс девять,1 приз равен 1 рублю эти призы вы сможете использовать на просмотры они будут применяться поровну то есть если просмотр обойдется например в 2 рубля 1 рубль будет оплачиваться вашим балансом 1 рубль будет оплачиваться бонусами а количество бонусов которое вы можете получить зависит от того какую сумму вы перечислили на предоплату и какую подписку активировали её цена мы суммируем эти 2 значения и такую же сумму бонусов вам начисляется максимум 200 вы так можете получить то есть например выбрали максимальную за 6000 и пополнили предоплату на 3000 суммарно ваш баланс 9
ну да тут тут эта площадка делает ну там не специально конечно ясно что у нас нет цели там как то обманывать и так далее она просто показывает рекомендуемую цену чтобы вы обгоняли соперников и вы же понимаете что чем выше будете у ваших соперников тем больше целевых запросов вы получите и вот так и работает система то есть она подбирает под продукт и смотря кто конкуренты и где вы находитесь например сейчас у нас отличное предложение идёт оно продлится до мая следующего года и я советую вам в нём участвовать то есть для вас это будет очень выгодно а как это функционирует то есть вы добавляете небольшую скидку на доставку в основном она чуть больше одного процента по вашему направлению но для пользователя мы демонстрируем скидку до пятнадцати процентов при этом ваша прибыль остаётся без изменений то есть мы просто уменьшаем комиссию на величину этой скидки для покупателя то есть вы берёте на себя один,ну да тут тут эта площадка делает ну там не специально конечно ясно что у нас нет цели там как то обманывать и так далее она просто показывает рекомендуемую цену чтобы вы обгоняли соперников и вы же понимаете что чем выше будете у ваших соперников тем больше целевых запросов вы получите и вот так и работает система то есть она подбирает под продукт и смотря кто конкуренты и где вы находитесь например сейчас у нас отличное предложение идёт оно продлится до мая следующего года и я советую вам в нём участвовать то есть для вас это будет очень выгодно а как это функционирует то есть вы добавляете небольшую скидку на доставку в основном она чуть больше 1 процента по вашему направлению но для пользователя мы демонстрируем скидку до 15 процентов при этом ваша прибыль остаётся без изменений то есть мы просто уменьшаем комиссию на величину этой скидки для покупателя то есть вы берёте на себя 1
нвот человек находится в перми смотрит здесь борисоглебская сорок семь думаю что сейчас звоню я здесь вроде как в пятнадцати минутах ходьбы но не приехал поэтому это как раз для того чтобы на самом деле там где она у вас расположена там и будет поэтому опять же если вы сейчас всё таки перейдёте на эти направления на те населённые пункты где у вас реально есть можно ещё такой вариант чтобы к вам приезжали самовывоз с оплатой онлайн это внутригородская сделка когда клиент приезжает к вам товар проверяет если всё устраивает то забирает там комиссия тоже ниже идёт,нвот человек находится в перми смотрит здесь борисоглебская 47 думаю что сейчас звоню я здесь вроде как в 15 минутах ходьбы но не приехал поэтому это как раз для того чтобы на самом деле там где она у вас расположена там и будет поэтому опять же если вы сейчас всё таки перейдёте на эти направления на те населённые пункты где у вас реально есть можно ещё такой вариант чтобы к вам приезжали самовывоз с оплатой онлайн это внутригородская сделка когда клиент приезжает к вам товар проверяет если всё устраивает то забирает там комиссия тоже ниже идёт
давайте начнем с того что я подключил услугу и начал использовать раздел для бизнеса стоимость подписки триста долларов на тридцать суток повторю еще раз стоимость тарифа триста долларов на месяц после активации вы платите за обращения от покупателей мы не берем большие деньги за каждую сделку а именно за контакты от клиентов как это работает представьте себе что человек ищет на маркетплейсе одежду для женщин и из десяти тысяч продавцов выбирает ваше объявление он пишет вам и у вас списывается сумма за контакт размер зависит от категории товара и подкатегории и от того в каком районе вы работаете поэтому с самого начала мы уточняем все детали вот так мы работают две основные статьи затрат повторюсь подписка и оплата за контакты клиентов сколько в среднем нужно выделять на маркетплейсе подскажите пожалуйста в каком городе вы находитесь и какой регион у точки отгрузки,давайте начнем с того что я подключил услугу и начал использовать раздел для бизнеса стоимость подписки 300 долларов на 30 суток повторю еще раз стоимость тарифа 300 долларов на месяц после активации вы платите за обращения от покупателей мы не берем большие деньги за каждую сделку а именно за контакты от клиентов как это работает представьте себе что человек ищет на маркетплейсе одежду для женщин и из 10000 продавцов выбирает ваше объявление он пишет вам и у вас списывается сумма за контакт размер зависит от категории товара и подкатегории и от того в каком районе вы работаете поэтому с самого начала мы уточняем все детали вот так мы работают 2 основные статьи затрат повторюсь подписка и оплата за контакты клиентов сколько в среднем нужно выделять на маркетплейсе подскажите пожалуйста в каком городе вы находитесь и какой регион у точки отгрузки
поняла вас посмотрите сюда в общем что я хочу обсудить с вами у нас есть различные инструменты там ясно которые помогают выделиться среди конкурентов но один из инструментов который позволяет увеличить переход от просмотра к заказу это небольшая скидочка то есть не прошу делать скидку четыре шесть процентов вы можете предложить скидку до двух с половиной процентов и это поможет улучшить конверсию в покупку ведь мы частично компенсируем затраты поэтому для определённой группы клиентов доставка будет бесплатной это сильно влияет на принятие решения если говорить о конкретных цифрах например цена товара у вас двенадцать тыщ рублей и скидка будет около ста восемьдесят рублей то есть это чуть больше процента а если товар стоит восемь тысяч то скидка будет сто пять рублей и это тоже около процента в таком вот формате мы сможем поработать и измерить как изменились показатели до и после интересно попробовать такой подход,поняла вас посмотрите сюда в общем что я хочу обсудить с вами у нас есть различные инструменты там ясно которые помогают выделиться среди конкурентов но 1 из инструментов который позволяет увеличить переход от просмотра к заказу это небольшая скидочка то есть не прошу делать скидку 4 6 процентов вы можете предложить скидку до 2 с половиной процентов и это поможет улучшить конверсию в покупку ведь мы частично компенсируем затраты поэтому для определённой группы клиентов доставка будет бесплатной это сильно влияет на принятие решения если говорить о конкретных цифрах например цена товара у вас 12000 рублей и скидка будет около 180 рублей то есть это чуть больше процента а если товар стоит 8000 то скидка будет 105 рублей и это тоже около процента в таком вот формате мы сможем поработать и измерить как изменились показатели до и после интересно попробовать такой подход
на работу алгоритмов влияет множество факторов например понятное дело по восстановлению автоматических и механических коробок передач по запросам ну давайте по восстановлению автоматических коробок найдем там двести восемьдесят три объявления в тольятти соответственно условно говоря чтобы найти вас понятное дело вы там находитесь в топе пяти если искать через свой аккаунт если я сейчас буду искать в режиме инкогнито или вообще через другой смартфон через мой например результаты будут отличаться то есть мне оно показывается через ваш профиль в числе,на работу алгоритмов влияет множество факторов например понятное дело по восстановлению автоматических и механических коробок передач по запросам ну давайте по восстановлению автоматических коробок найдем там 283 объявления в тольятти соответственно условно говоря чтобы найти вас понятное дело вы там находитесь в топе 5 если искать через свой аккаунт если я сейчас буду искать в режиме инкогнито или вообще через другой смартфон через мой например результаты будут отличаться то есть мне оно показывается через ваш профиль в числе
выберите одно из объявлений галочкой и посмотрите на триста два предложения вниз,выберите 1 из объявлений галочкой и посмотрите на 302 предложения вниз
будет потрачено на старт когда начнутся заказы можно будет увеличивать финансирование ну и как только вы заполните первую карточку я проверю как тратят конкуренты посмотрю топ пятнадцать в стране и тогда уже смогу дать оценку по средним расходам и количеству карточек на основе этого мы сможем определить финансовый план еще важен вопрос доставки покупатель платит за нее но чтобы повысить продажи нужно включить скидку на доставку в цену товара правильно рассчитать цену берем себестоимость прибавляем прибыль без учета налогов плюсуем ориентировочно четырнадцать процентов это комиссия площадки и добавляем скидку на доставку если товар дешевле девятисот рублей то делаем скидку девяносто рублей те кто заказывает в вашем населенном пункте получают доставку бесплатно или частично если товар дороже девятисот но дешевле двух,будет потрачено на старт когда начнутся заказы можно будет увеличивать финансирование ну и как только вы заполните 1 карточку я проверю как тратят конкуренты посмотрю топ 15 в стране и тогда уже смогу дать оценку по средним расходам и количеству карточек на основе этого мы сможем определить финансовый план еще важен вопрос доставки покупатель платит за нее но чтобы повысить продажи нужно включить скидку на доставку в цену товара правильно рассчитать цену берем себестоимость прибавляем прибыль без учета налогов плюсуем ориентировочно 14 процентов это комиссия площадки и добавляем скидку на доставку если товар дешевле 900 рублей то делаем скидку 90 рублей те кто заказывает в вашем населенном пункте получают доставку бесплатно или частично если товар дороже 900 но дешевле 2
двадцать дней спустя всё будет готово я перешлю данные по электронке всё ясно пересылал уже посмотрели на них,20 дней спустя всё будет готово я перешлю данные по электронке всё ясно пересылал уже посмотрели на них
у меня первое объявление внутренний динамик высокочастотный место пятьдесят девять упало еще на двенадцать позиций угол двери,у меня первое объявление внутренний динамик высокочастотный место 59 упало еще на 12 позиций угол двери
вашему вопросу поступил ответ уточнены детали по интересующим моментам а по поводу отзыва от дениса он в данный момент находится в статусе ответственности продавца что это значит это то что у нас не хватает подтверждений о том что покупка прошла или не прошла и мы отправляем запрос продавцу для уточнения а если зайти в блок рейтинг то там будет один отзыв в ожидании если в течение двух дней вы не подтвердите то он будет опубликован самостийно сейчас его можно подтвердить если зайти в раздел а если в течение четырех часов не успеете то он будет опубликован сам по себе от дениса по поводу,вашему вопросу поступил ответ уточнены детали по интересующим моментам а по поводу отзыва от дениса он в данный момент находится в статусе ответственности продавца что это значит это то что у нас не хватает подтверждений о том что покупка прошла или не прошла и мы отправляем запрос продавцу для уточнения а если зайти в блок рейтинг то там будет 1 отзыв в ожидании если в течение 2 дней вы не подтвердите то он будет опубликован самостийно сейчас его можно подтвердить если зайти в раздел а если в течение 4 часов не успеете то он будет опубликован сам по себе от дениса по поводу
я бы посоветовал начать с того чтобы немного переформулировать текст в анкете и добавить несколько примеров ваших работ чтобы клиент сразу увидел больше информации не пять а например восемнадцать вариантов чтобы у него было из чего выбрать это доступно на текущем уровне подписки и больше ничего не предусмотрено но также важно чтобы в самом описании вы прямо указывали заходите сюда пишите мы ответим на все интересующие вопросы в самом начале текста это нужно обязательно сделать потому что тогда пользователи видят что с вами можно связаться и это как бы призыв к действию и они пишут вам сообщения когда вы получаете сообщения алгоритм понимает что профиль активный и начинает его чаще показывать вот такие нюансы тоже стоит учитывать первым делом я бы попробовал внести эти изменения как я описал и запустил несколько объявлений посмотрите как будет работать если контакты начнут появляться значит формат подходит если же нет то это просто визуализация и без взаимодействия вы не добьетесь результата,я бы посоветовал начать с того чтобы немного переформулировать текст в анкете и добавить несколько примеров ваших работ чтобы клиент сразу увидел больше информации не 5 а например 18 вариантов чтобы у него было из чего выбрать это доступно на текущем уровне подписки и больше ничего не предусмотрено но также важно чтобы в самом описании вы прямо указывали заходите сюда пишите мы ответим на все интересующие вопросы в самом начале текста это нужно обязательно сделать потому что тогда пользователи видят что с вами можно связаться и это как бы призыв к действию и они пишут вам сообщения когда вы получаете сообщения алгоритм понимает что профиль активный и начинает его чаще показывать вот такие нюансы тоже стоит учитывать первым делом я бы попробовал внести эти изменения как я описал и запустил несколько объявлений посмотрите как будет работать если контакты начнут появляться значит формат подходит если же нет то это просто визуализация и без взаимодействия вы не добьетесь результата
в любую категорию можно добавить товары через опубликовать продвигать чтобы увеличить показы у вас будет нажимаете продвигать выбираете суточный лимит который вас интересует например я вошел в раздел шелковые платья там можно двадцать пять рублей в сутки продвижение поставили его на четырнадцать дней то есть триста пятьдесят рублей примерно продвижение стоит тогда нажимаете опубликовать перейти к оплате и оплатить с баланса при сумме трат значит от двух с половиной тысяч и выше максимально до девяти все что в этом диапазоне две три там ну там три восемь да все будет возвращено вам бонусами в начале февраля ну там после новогодних праздников потому что там выходные соответственно в феврале месяце эти бонусы будут действовать тридцать дней то есть условно с двадцатого февраля по двадцатое марта и уже в марте вы восемьдесят семь,в любую категорию можно добавить товары через опубликовать продвигать чтобы увеличить показы у вас будет нажимаете продвигать выбираете суточный лимит который вас интересует например я вошел в раздел шелковые платья там можно 25 рублей в сутки продвижение поставили его на 14 дней то есть 350 рублей примерно продвижение стоит тогда нажимаете опубликовать перейти к оплате и оплатить с баланса при сумме трат значит от 2 с половиной 1000 и выше максимально до 9 все что в этом диапазоне 2 3 там ну там 3 8 да все будет возвращено вам бонусами в начале февраля ну там после новогодних праздников потому что там выходные соответственно в феврале месяце эти бонусы будут действовать 30 дней то есть условно с 20 февраля по двадцатое марта и уже в марте вы 87
сейчас минуточку подожди я загружаю еще у меня три профиля в процессе идет семьдесят пять один сейчас я его запускаю вот эти вкладки стартап которые у нас в учетке как общий объем продаж как поступают звонки связи уже почти две недели,сейчас минуточку подожди я загружаю еще у меня 3 профиля в процессе идет 76 сейчас я его запускаю вот эти вкладки стартап которые у нас в учетке как общий объем продаж как поступают звонки связи уже почти 2 недели
вот постепенно анализируете вот ну в общем я вам финансирование вышлю уведомление чтобы и у вас отображалось легче было одобрить вот и что еще я вам хотел упомянуть в общем да возвращаясь к распродаже сейчас клиенты активно реагируют на скидки ну в общем осведомлены что сейчас выгодно а сейчас рассылки в связи с этим действуют вот и у вас они причем очень экономичные то есть берете большой угловой диван без первоначального взноса и доставка бесплатно за пятьдесят восемь тысяч рассылка идет тем кто в последние тринадцать дней добавлял в понравившиеся либо заходил несколько раз вот поэтому реклама у вас семьдесят три объявления вот там сегодня пришли часа в два ну лучше в один в два рассылать вот отправили на триста девять рублей все прямо несколько дней ждете смотрите как отреагировала аудитория началась реакция отлично по другому объявлению отправили,вот постепенно анализируете вот ну в общем я вам финансирование вышлю уведомление чтобы и у вас отображалось легче было одобрить вот и что еще я вам хотел упомянуть в общем да возвращаясь к распродаже сейчас клиенты активно реагируют на скидки ну в общем осведомлены что сейчас выгодно а сейчас рассылки в связи с этим действуют вот и у вас они причем очень экономичные то есть берете большой угловой диван без первоначального взноса и доставка бесплатно за 58000 рассылка идет тем кто в последние 13 дней добавлял в понравившиеся либо заходил несколько раз вот поэтому реклама у вас 73 объявления вот там сегодня пришли часа в 2 ну лучше в 1 в 2 рассылать вот отправили на 309 рублей все прямо несколько дней ждете смотрите как отреагировала аудитория началась реакция отлично по другому объявлению отправили
в двух объявлениях сбери дваста шестьдесят три рубля у них,в 2 объявлениях сбери 263 рубля у них
двести два рубля и сто одиннадцать москва семь сто восемьдесят то есть идем на уменьшение в зависимости от того как было по контактам интересно по добавлению в избранное объявление,202 рубля и 111 москва 187 то есть идем на уменьшение в зависимости от того как было по контактам интересно по добавлению в избранное объявление
ага ну смотрите тут еще один важный аспект вот в ваших документах военного типа выложили фактически всего три снимка ну на обмундирование хотя бы пять должно быть в дальнейшем потом у вас текст текст должен быть не меньше ста пятидесяти знаков у вас только два коротких фразы,ага ну смотрите тут еще 1 важный аспект вот в ваших документах военного типа выложили фактически всего 3 снимка ну на обмундирование хотя бы 5 должно быть в дальнейшем потом у вас текст текст должен быть не меньше 150 знаков у вас только 2 коротких фразы
авито демонстрирует как пользователи реагируют на объявления первое число в вашем сегменте должно быть не ниже пятнадцати процентов у вас получилось двадцать что довольно неплохо второе число просмотры контакты должно быть не меньше семи процентов у вас двадцать пять отличный результат синий график показывает динамику в первый день у вас высокая активность на второй день показатели немного снизились,авито демонстрирует как пользователи реагируют на объявления первое число в вашем сегменте должно быть не ниже 15 процентов у вас получилось 20 что довольно неплохо 2 число просмотры контакты должно быть не меньше 7 процентов у вас 25 отличный результат синий график показывает динамику в 1 день у вас высокая активность на 2 день показатели немного снизились
ну да потому что если вы вообще начнете по всей башкортостанке обходить все объявления конкурентов кто не делает самовывоз и онлайн оплату там ничего не поменялось там идет два с половиной процента скидка то есть это пониженная авито доставка не предусмотрена плюс вы даете возможность покупателю брать товар в кредит или рассрочку через карту ну или оформлять кредит двеси рублей за товар,ну да потому что если вы вообще начнете по всей башкортостанке обходить все объявления конкурентов кто не делает самовывоз и онлайн оплату там ничего не поменялось там идет 2 с половиной процента скидка то есть это пониженная авито доставка не предусмотрена плюс вы даете возможность покупателю брать товар в кредит или рассрочку через карту ну или оформлять кредит 200 рублей за товар
да вот как обычно первый месяц это расширенный тариф чтобы подобрать ассортимент настроить личный кабинет посчитать аналитику статистику а со второго месяца переходим на максимальный и уже зная средний чек лист можно полноценно работать,да вот как обычно 1 месяц это расширенный тариф чтобы подобрать ассортимент настроить личный кабинет посчитать аналитику статистику а со 2 месяца переходим на максимальный и уже зная средний чек лист можно полноценно работать
ну практически в два раза больше связей вы получили за прошедшие тридцать суток так вот у вас да явная динамика,ну практически в 2 раза больше связей вы получили за прошедшие 30 суток так вот у вас да явная динамика
вот используйте и скидку и скидку на доставку то есть здесь ну полностью верное решение наверное касательно доставки единственное что не применяете и что советуют сейчас добавить внести это тринадцать суток на возврат к активным обьявлениям применяет это скажем так с точки зрения бюджета никакого воздействия не оказывает но именно это еще один метод который помогает обьявлениям лучше отображаться ну и в общем да это как такой психологический аспект для покупателей что они могут спокойно дома все это проверить да тем более здесь ну комплектующие ясно что визуального осмотра иногда не хватает вот поэтому вот так,вот используйте и скидку и скидку на доставку то есть здесь ну полностью верное решение наверное касательно доставки единственное что не применяете и что советуют сейчас добавить внести это 13 суток на возврат к активным обьявлениям применяет это скажем так с точки зрения бюджета никакого воздействия не оказывает но именно это еще 1 метод который помогает обьявлениям лучше отображаться ну и в общем да это как такой психологический аспект для покупателей что они могут спокойно дома все это проверить да тем более здесь ну комплектующие ясно что визуального осмотра иногда не хватает вот поэтому вот так
конечно посмотрим если взглянуть на данные то просмотры уменьшились всего на двести тридцать да и по обращениям у вас явно падает на пятнадцать процентов а какое объявление вы говорите что там идет накрутка,конечно посмотрим если взглянуть на данные то просмотры уменьшились всего на 230 да и по обращениям у вас явно падает на 15 процентов а какое объявление вы говорите что там идет накрутка
давайте так скажу почти все но я еще встречаю аккаунты в которых даже оповещения такого не было но это все волнами идет не повсеместно ну то есть не сразу всех вот да то есть это изначально началось весной еще в начале апреля там если я правильно помню либо одиннадцатого апреля либо тринадцатого апреля первая волна началась потом было затишье и с июля вот по сегодняшний день там ну не знаю ну стадий наверное подходов уже пять прошло может уже больше просто вот в июле в августе в ноябре ну в августе в основном да то есть я прям очень много аккаунтов видел кто кто должны были вот эту ситуацию обсудить ну реализовать либо принять меры и все же связаться с юрлицом либо же этого не делать,давайте так скажу почти все но я еще встречаю аккаунты в которых даже оповещения такого не было но это все волнами идет не повсеместно ну то есть не сразу всех вот да то есть это изначально началось весной еще в начале апреля там если я правильно помню либо 11 апреля либо 13 апреля 1 волна началась потом было затишье и с июля вот по сегодняшний день там ну не знаю ну стадий наверное подходов уже 5 прошло может уже больше просто вот в июле в августе в ноябре ну в августе в основном да то есть я прям очень много аккаунтов видел кто кто должны были вот эту ситуацию обсудить ну реализовать либо принять меры и все же связаться с юрлицом либо же этого не делать
в любом случае вы выбираете уровень продвижения и в топовой версии вы дополнительно получаете больше возможностей например в поиске появляется ваш значок и при клике на него пользователь сразу попадает на ваш профиль это дополнительный путь для перехода к вам также в топовой версии вы можете разместить не один а сразу три баннера и они будут меняться как слайдер таким образом вы можете разместить в них больше информации и еще там будет отдельная зона на странице где можно выставить крупный виджет и отметить самые востребованные позиции галочкой чтобы они отображались на этом виджете для привлечения внимания разница между расширенной и топовой версиями в наборе инструментов обе дают вам страницу магазина на площадке но с разным функционалом обе работают по системе оплаты за первый показ если пользователь открывает ваше объявление то это списывается с депозита который мы зачисляем на начало работы от пятиста рублей и выше любую сумму вы сами выбираете а повторные просмотры уже не оплачиваются только первый заход и так далее,в любом случае вы выбираете уровень продвижения и в топовой версии вы дополнительно получаете больше возможностей например в поиске появляется ваш значок и при клике на него пользователь сразу попадает на ваш профиль это дополнительный путь для перехода к вам также в топовой версии вы можете разместить не 1 а сразу 3 баннера и они будут меняться как слайдер таким образом вы можете разместить в них больше информации и еще там будет отдельная зона на странице где можно выставить крупный виджет и отметить самые востребованные позиции галочкой чтобы они отображались на этом виджете для привлечения внимания разница между расширенной и топовой версиями в наборе инструментов обе дают вам страницу магазина на площадке но с разным функционалом обе работают по системе оплаты за 1 показ если пользователь открывает ваше объявление то это списывается с депозита который мы зачисляем на начало работы от пятиста рублей и выше любую сумму вы сами выбираете а повторные просмотры уже не оплачиваются только 1 заход и так далее
